57,57,57
81, 81, 81
109, 109, 109
119, 119, 119
141, 141, 141
158, 158, 158
203, 203, 203
224, 224, 224
254, 254, 254
55, 0, 0	빨강
155, 0, 0
255, 0, 0
255, 57, 57
255, 109, 109
255, 119, 119
255, 158, 158
255, 224, 224
255, 254, 254
55, 13, 0	체리
155, 34, 0
255, 57, 0
255, 102, 57
255, 141, 109
255, 151, 119
255, 181, 158
255, 254, 224
255, 254, 254
55, 33, 0	주황
155, 94, 0
255, 153, 0
255, 176, 57
255, 197, 109
255, 207, 119
255, 217, 158
255, 254, 224
255, 254, 254
55, 55, 0	노랑
155, 155, 0
255, 255, 0
255, 255, 57
255, 255, 109
255, 255, 119
255, 255, 158
255, 255, 224
255, 255, 254
28, 55, 0	연초록
78, 155, 0
128, 255, 0
156, 255, 57
182, 255, 109
187, 255, 119
206, 255, 158
239, 255, 224
254, 255, 254
0, 55, 0	초록
0, 155, 0
0, 255, 0
57, 255, 57
109, 255, 109
119, 255, 119
158, 255, 158
224, 255, 224
254, 255, 254
0, 55, 55	하늘색
0, 155, 155
0, 255, 255
57, 255, 255
109, 255, 255
119, 255, 255
158, 255, 255
224, 255, 255
254, 255, 255
0, 28, 55	연파랑
0, 78, 155
0, 128, 255
57, 156, 255
109, 182, 255
119, 187, 255
158, 207, 255
224, 240, 255
254, 254, 255
0, 0, 55	파랑
0, 0, 155
0, 0, 255
57, 57, 255
109, 109, 255
119, 119, 255
158, 158, 255
224, 224, 255
254, 254, 255
28, 0, 55	보라
78, 0, 155
127, 0, 255
156, 57, 255
182, 109, 255
187, 119, 255
207, 158, 255
240, 224, 255
254, 254, 255
55, 0, 55	분홍
155, 0, 155
255, 0, 255
255, 57, 255
255, 109, 255
255, 119, 255
255, 158, 255
255, 224, 255
255, 254, 255
